name,price,Brand,link,
"MT7TL10  Ascend Mate 7  6.0\  32 GB  3 GB RAM  1.8 GHz Quadcore  13 MP Camera  Gold (Brand Warranty)""",†51900,Huawei†,https://www.daraz.pk/mt7-tl10-ascend-mate-7-6.0-32-gb-hdd-3-gb-ram-13-mp-camera-gold-brand-warranty-huawei-mpg905.html,
Klassic H100  Dual Sim  2.4 ''  Black (Brand Warranty),†1990,Haier†,https://www.daraz.pk/klassic-h100-dual-sim-2.4-black-brand-warranty-haier-mpg8137.html,
"i40 Esteem  Dual Sim  5\  8 GB  1 GB RAM  1.3 Ghz DualCore  8 MP Camera  Black (Brand Warranty)""",†10300,Haier†,https://www.daraz.pk/haier-i40-esteem-dual-sim-5-8-gb-1-gb-ram-1.3-ghz-dual-core-8-mp-camera-black-brand-warranty-5426090.html,
"Nexus 6P  5.7\  32 GB  3 GB RAM  1.55 & 2.0 Quad Core  12.3 MP Camera  Grey (Brand Warranty)""",†69900,Huawei†,https://www.daraz.pk/huawei-nexus-6p-5.7-32-gb-3-gb-ram-1.55-2.0-quad-core-12.3-mp-camera-grey-brand-warranty-5423697.html,
"Nexus 6P  5.7\  32 GB  3 GB RAM  1.55 & 2.0 Quad Core  12.3 MP Camera  Silver (Brand Warranty)""",†67400,Huawei†,https://www.daraz.pk/huawei-nexus-6p-5.7-32-gb-3-gb-ram-1.55-2.0-quad-core-12.3-mp-camera-silver-brand-warranty-5423698.html,
"P8 LITE  5\  4G  16GB  2GB RAM  1.2 GHz Octacore  13 MP Camera  White (Brand Warranty)""",†21569,Huawei†,https://www.daraz.pk/p8-lite-5.0-16-gb-2-gb-ram-13-mp-camera-white-brand-warranty-huawei-mpg933.html,
"Y5  4.5\  8 GB  1 GB RAM  1.2 GHz Quad Core  8 MP Camera  White (Brand Warranty)""",†8850,Huawei†,https://www.daraz.pk/y5-4.5-8-gb-1-gb-ram-1.2-ghz-quad-core-8-mp-camera-white-brand-warranty-huawei-mpg3875.html,
"A700F  Galaxy A7  4G  5.5\  16GB  2 GB RAM  1.8 Ghz Quadcore  13MP Camera  White (Brand Warranty)""",†41750,Samsung†,https://www.daraz.pk/a700f-galaxy-a7-5.5-16-gb-hdd-2-gb-ram-13-mp-camera-white-brand-warranty-samsung-mpg808.html,
LG G2 Mini  Glass screen protector  Transparent,†199,Giftsmine†,https://www.daraz.pk/giftsmine-lg-g2-mini-glass-screen-protector-transparent-5418226.html,
Glass Screen Protector For Samsung Galaxy Core,†199,Giftsmine†,https://www.daraz.pk/giftsmine-glass-screen-protector-for-samsung-galaxy-core-5418259.html,
Esteem i50 Quad Core  1GB  Black,†10799,Haier†,https://www.daraz.pk/haier-esteem-i50-quad-core-1gb-black-5411976.html,
"H30U10  Honor 3C  5\  8 GB  2 GB RAM  8 MP Camera  Black (Brand Warranty)""",†14750,Huawei†,https://www.daraz.pk/h30-u10-honor-3c-5-8-gb-hdd-2-gb-ram-8-mp-camera-black-brand-warranty-huawei-mpg149.html,
"H30U10  Honor 3C Dual Sim   5\  8 GB  2 GB RAM   1.3 Ghz  8 MP Camera  White (Brand Warranty)""",†14750,Huawei†,https://www.daraz.pk/h30-u10-honor-3c-5-8-gb-hdd-2-gb-ram-8-mp-camera-white-brand-warranty-huawei-mpg154.html,
"A700F  Galaxy A7  4G  5.5\  16GB  2 GB RAM  1.8 Ghz Quadcore  13MP Camera  Black (Brand Warranty)""",†41750,Samsung†,https://www.daraz.pk/a700f-galaxy-a7-5.5-16gb-hdd-2gb-ram-13mp-camera-black-brand-warranty-samsung-mpg807.html,
"G8  5.5\  32 GB  3 GB RAM  1.5GHz Octa Core  13 MP Camera  Mystic Champagne (Brand Warranty)""",†36374,Huawei†,https://www.daraz.pk/g8-5.5-32-gb-3-gb-ram-1.5ghz-octa-core-13-mp-camera-mystic-champagne-brand-warranty-huawei-mpg12108.html,
"Mate S  5.5\  64 GB  3GB RAM  Octa Core  13 MP Camera  Luxurious Gold (Brand Warranty)""",†63000,Huawei†,https://www.daraz.pk/mate-s-5.5-64-gb-3gb-ram-octa-core-13-mp-camera-luxurious-gold-brand-warranty-huawei-mpg12109.html,
